Time,Temperature,Humidity,Vbat
1704464468,21.43,52.74,3016
1704466264,21.61,55.1,3023
1704468070,21.64,55.41,3035
1704469871,21.58,54.99,3040
1704471659,21.22,52.8,3039
1704473465,21.6,50.06,3035
1704475266,22.41,50.65,3027
1704477067,22.56,52.13,3008
1704478869,21.83,50.73,2993
1704480670,21.1,50.64,2986
1704482466,21.38,49.09,2984
1704484272,21.55,47.76,2993
1704486073,21.31,47.59,3002
1704487874,21.05,47.47,2995
1704489675,20.94,46.58,2975
1704491477,20.71,45.5,2962
1704493278,20.51,45.37,2963
1704495074,21.39,45.32,2967
1704496880,21.97,46.86,2991
1704498681,22.07,49.22,3018
1704500445,21.34,51.5,3030
1704502251,20.3,54.37,3040
1704504047,20.05,56.55,3047
1704505854,19.92,58.32,3046
1704507655,19.74,59.22,3042
1704509456,19.62,60.41,3040
1704511252,19.64,61.71,3039
1704513058,19.69,62.53,3038
1704514854,19.61,63.38,3038
1704516660,19.56,64.6,3038
1704518461,19.55,65.6,3037
1704520263,19.56,65.68,3037
1704522064,19.55,65.77,3037
1704523865,19.46,66.05,3036
1704525661,19.34,66.4,3036
1704527462,19.26,66.49,3035
1704529268,19.23,66.87,3034
1704531069,19.21,66.98,3034
1704532870,19.21,67.27,3033
1704534671,19.34,68.24,3033
1704536468,19.45,61.61,3033
1704538274,19.87,55.92,3034
1704540070,18.61,49.42,3034
1704541876,17.24,48.4,3034
1704543677,18.53,50.87,3029
1704545478,19.52,52.09,3029
1704547279,19.86,53.65,3031
1704549081,20.04,54.26,3031
1704550882,20.19,54.95,3034
1704552648,19.81,54.54,3034
1704554449,19.9,57.22,3031
1704556250,20.08,60.3,3030
1704558051,20.28,62.56,3026
1704559853,20.32,62.31,3022
1704561649,20.36,62.45,3018
1704563455,20.36,62.89,3017
1704565256,20.41,62.97,3017
1704567057,20.38,63.04,3017
1704568858,21,62.19,3019
1704570659,21.51,61.45,3017
1704572460,20.79,54.47,3010
