Time,Temperature,Humidity,Vbat
1727392790,22.54,62.62,2855
1727394592,22.59,62.91,2855
1727396394,22.69,63.28,2854
1727398196,22.63,63.65,2854
1727399999,22.57,64.09,2854
1727401798,22.55,64.32,2854
1727403603,22.53,64.74,2853
1727405405,22.55,65.5,2853
1727407208,22.57,65.84,2854
1727409010,22.56,65.7,2855
1727410809,22.55,65.62,2855
1727412614,22.56,65.69,2855
1727414416,22.54,65.74,2854
1727416219,22.5,65.73,2854
1727418018,22.49,65.9,2853
1727419823,22.48,65.98,2853
1727421626,22.47,66.01,2854
1727423428,22.45,66.09,2854
1727425228,22.47,66.11,2854
1727427032,22.48,65.69,2854
1727428834,22.51,64.63,2853
1727430637,22.42,64.25,2853
1727432439,22.53,64.65,2852
1727434241,22.46,64.53,2851
1727436043,22.42,64.35,2851
1727437846,22.47,64.19,2852
1727439646,22.64,63.79,2853
1727441448,22.64,63.69,2854
1727443252,22.61,63.69,2854
1727445055,22.56,63.8,2854
1727446857,22.52,63.81,2854
1727448659,22.52,63.51,2854
1727450459,22.46,63.03,2854
1727452264,22.44,62.76,2853
1727454066,22.47,62.43,2853
1727455868,22.45,62.42,2853
1727457670,22.53,62.63,2854
1727459473,22.52,62.97,2854
1727461272,22.44,62.58,2853
1727463077,22.4,62.3,2852
1727464879,22.3,62.53,2852
1727466681,22.18,62.12,2851
1727468484,22.19,62.47,2852
1727470286,22.12,62.66,2852
1727472086,22.07,62.87,2850
1727473888,22.02,63.16,2849
1727475690,21.98,63.21,2849
1727477495,21.95,63.21,2850
1727479295,21.92,63.16,2849
1727481099,21.87,62.97,2848
1727482902,21.82,62.83,2849
1727484704,21.77,62.76,2848
1727486506,21.73,62.51,2849
1727488308,21.7,62.49,2848
1727490111,21.68,62.49,2847
1727491913,21.66,62.55,2847
1727493715,21.91,62.8,2848
1727495518,22.1,62.86,2849
1727497320,21.98,63.21,2850
1727499122,21.91,63.66,2851
1727500924,21.85,64.13,2850
1727502724,21.78,64.33,2849
1727504526,21.75,64.67,2848
1727506331,21.73,64.9,2847
1727508133,21.7,64.99,2846
1727509933,21.68,65.14,2847
1727511735,21.67,65.61,2847
1727513538,21.68,65.86,2848
1727515342,21.67,65.9,2849
1727517145,21.67,65.83,2850
1727518947,21.7,65.82,2849
1727520749,21.73,65.85,2847
1727522551,21.81,65.92,2846
1727524354,21.87,65.92,2846
1727526156,21.97,65.57,2847
1727527958,21.82,64.24,2848
1727529760,21.76,63.45,2849
1727531563,21.84,64.19,2849
1727533362,21.84,64.76,2849
1727535167,21.88,64.82,2849
1727536969,22.09,63.82,2848
1727538769,21.8,61.04,2847
1727540574,21.71,60.42,2847
1727542376,21.73,60.37,2846
1727544178,21.98,61.22,2846
1727545981,22.08,61.72,2848
1727547780,22.05,62.01,2849
1727549583,22.04,62.06,2849
1727551387,22.01,61.99,2849
1727553190,21.96,62.16,2848
1727554989,21.77,62.05,2848
1727556794,21.64,62.74,2847
1727558596,21.63,63.89,2847
1727560399,21.74,63.79,2846
1727562201,21.81,63.61,2847
1727564003,21.85,63.5,2847
1727565803,21.85,63.46,2847
1727567608,21.88,63.32,2846
1727569410,21.9,63.21,2846
1727571212,21.87,63.21,2847
1727573014,21.81,63.28,2847
1727574817,21.73,63.21,2846
1727576619,21.6,63.42,2846
1727578419,21.43,63.49,2845
1727580224,21.35,63.81,2844
1727582026,21.29,64.13,2843
1727583828,21.24,64.18,2843
1727585628,21.21,64.34,2843
1727587432,21.2,64.82,2844
1727589235,21.19,65.04,2843
1727591034,21.14,64.94,2844
1727592839,21.06,64.74,2844
1727594641,21.03,64.77,2843
1727596444,20.98,64.75,2843
1727598246,20.95,64.73,2843
1727600048,20.94,64.89,2844
1727601851,20.95,64.98,2843
1727603653,20.98,64.92,2843
1727605452,21.09,64.96,2843
1727607257,21.26,64.86,2843
1727609057,21.42,64.38,2842
1727610859,21.09,59.9,2843
1727612664,20.7,54.91,2843
1727613713,21.26,53.83,2844
1727615515,21.28,54.79,2844
1727617315,21.48,55.38,2844
1727619120,22.12,56.72,2844
1727620922,22.2,57.76,2845
1727622724,22.18,58.6,2846
1727624526,22.18,59.24,2847
1727626326,22.24,59.89,2848
1727628128,22.25,60.61,2847
1727629933,22.27,61.7,2847
1727631735,22.29,62.09,2847
1727633538,22.32,62.34,2846
1727635340,22.33,59.47,2847
1727637142,21.71,56.28,2847
1727638944,21.32,55.38,2846
1727640747,21.31,54.94,2844
